Number of Rows
--------------
9876
 
Hidden States
-------------
[4 4 4 ... 7 7 7]
 
Record of data hidden state
**********************************
No.     mean of X  -  mean of Y      #Number
0      -5.72259948329     -  -5.72259948329      574
1      -5.72259948329     -  -6.23795522814      0
2      -5.72259948329     -  -4.09847646614      1
3      -5.72259948329     -  -6.46468562319      3
4      -5.72259948329     -  -6.11490127714      0
5      -5.72259948329     -  -6.28119500139      0
6      -5.72259948329     -  -5.07071628092      1
7      -5.72259948329     -  -6.38375366093      0
8      -5.72259948329     -  -3.90896289399      0
9      -5.72259948329     -  -5.80876930673      0
10      -5.72259948329     -  -5.45208939077      35
11      -5.72259948329     -  -4.33821735877      0
12      -5.72259948329     -  -6.08816272454      0
13      -5.72259948329     -  -6.17114501277      2
14      -5.72259948329     -  -5.97491598029      36
15      -5.72259948329     -  -3.81406145289      0
16      -6.23795522814     -  -5.72259948329      0
17      -6.23795522814     -  -6.23795522814      2
18      -6.23795522814     -  -4.09847646614      0
19      -6.23795522814     -  -6.46468562319      0
20      -6.23795522814     -  -6.11490127714      38
21      -6.23795522814     -  -6.28119500139      0
22      -6.23795522814     -  -5.07071628092      0
23      -6.23795522814     -  -6.38375366093      2
24      -6.23795522814     -  -3.90896289399      0
25      -6.23795522814     -  -5.80876930673      0
26      -6.23795522814     -  -5.45208939077      1
27      -6.23795522814     -  -4.33821735877      0
28      -6.23795522814     -  -6.08816272454      0
29      -6.23795522814     -  -6.17114501277      393
30      -6.23795522814     -  -5.97491598029      2
31      -6.23795522814     -  -3.81406145289      0
32      -4.09847646614     -  -5.72259948329      0
33      -4.09847646614     -  -6.23795522814      0
34      -4.09847646614     -  -4.09847646614      244
35      -4.09847646614     -  -6.46468562319      0
36      -4.09847646614     -  -6.11490127714      3
37      -4.09847646614     -  -6.28119500139      0
38      -4.09847646614     -  -5.07071628092      0
39      -4.09847646614     -  -6.38375366093      0
40      -4.09847646614     -  -3.90896289399      34
41      -4.09847646614     -  -5.80876930673      0
42      -4.09847646614     -  -5.45208939077      0
43      -4.09847646614     -  -4.33821735877      1
44      -4.09847646614     -  -6.08816272454      0
45      -4.09847646614     -  -6.17114501277      0
46      -4.09847646614     -  -5.97491598029      0
47      -4.09847646614     -  -3.81406145289      19
48      -6.46468562319     -  -5.72259948329      6
49      -6.46468562319     -  -6.23795522814      5
50      -6.46468562319     -  -4.09847646614      0
51      -6.46468562319     -  -6.46468562319      172
52      -6.46468562319     -  -6.11490127714      0
53      -6.46468562319     -  -6.28119500139      0
54      -6.46468562319     -  -5.07071628092      0
55      -6.46468562319     -  -6.38375366093      1
56      -6.46468562319     -  -3.90896289399      0
57      -6.46468562319     -  -5.80876930673      1
58      -6.46468562319     -  -5.45208939077      0
59      -6.46468562319     -  -4.33821735877      0
60      -6.46468562319     -  -6.08816272454      0
61      -6.46468562319     -  -6.17114501277      0
62      -6.46468562319     -  -5.97491598029      0
63      -6.46468562319     -  -3.81406145289      0
64      -6.11490127714     -  -5.72259948329      0
65      -6.11490127714     -  -6.23795522814      0
66      -6.11490127714     -  -4.09847646614      0
67      -6.11490127714     -  -6.46468562319      0
68      -6.11490127714     -  -6.11490127714      1210
69      -6.11490127714     -  -6.28119500139      20
70      -6.11490127714     -  -5.07071628092      0
71      -6.11490127714     -  -6.38375366093      0
72      -6.11490127714     -  -3.90896289399      4
73      -6.11490127714     -  -5.80876930673      0
74      -6.11490127714     -  -5.45208939077      0
75      -6.11490127714     -  -4.33821735877      0
76      -6.11490127714     -  -6.08816272454      0
77      -6.11490127714     -  -6.17114501277      44
78      -6.11490127714     -  -5.97491598029      47
