Number of Rows
--------------
9938
 
Hidden States
-------------
[ 5  8  8 ... 14 14 14]
 
Record of data hidden state
**********************************
No.     mean of X  -  mean of Y      #Number
143      -5.50092846236     -  -5.37147303384      16
144      -4.89610596363     -  -5.52521173291      0
145      -4.89610596363     -  -4.52912809899      1
146      -4.89610596363     -  -5.10185539429      4
147      -4.89610596363     -  -3.36100878731      0
148      -4.89610596363     -  -5.64050299191      0
149      -4.89610596363     -  -5.46788233529      0
150      -4.89610596363     -  -5.53915973045      0
151      -4.89610596363     -  -5.4182529278      0
152      -4.89610596363     -  -5.50092846236      0
153      -4.89610596363     -  -4.89610596363      299
154      -4.89610596363     -  -5.57780151223      0
155      -4.89610596363     -  -5.69381816614      0
156      -4.89610596363     -  -5.60374132216      0
157      -4.89610596363     -  -4.44271866439      0
158      -4.89610596363     -  -5.55893091787      0
159      -4.89610596363     -  -5.37147303384      0
160      -5.57780151223     -  -5.52521173291      0
161      -5.57780151223     -  -4.52912809899      1
162      -5.57780151223     -  -5.10185539429      3
163      -5.57780151223     -  -3.36100878731      0
164      -5.57780151223     -  -5.64050299191      0
165      -5.57780151223     -  -5.46788233529      0
166      -5.57780151223     -  -5.53915973045      6
167      -5.57780151223     -  -5.4182529278      0
168      -5.57780151223     -  -5.50092846236      0
169      -5.57780151223     -  -4.89610596363      0
170      -5.57780151223     -  -5.57780151223      1538
171      -5.57780151223     -  -5.69381816614      0
172      -5.57780151223     -  -5.60374132216      41
173      -5.57780151223     -  -4.44271866439      0
174      -5.57780151223     -  -5.55893091787      31
175      -5.57780151223     -  -5.37147303384      6
176      -5.69381816614     -  -5.52521173291      1
177      -5.69381816614     -  -4.52912809899      0
178      -5.69381816614     -  -5.10185539429      0
179      -5.69381816614     -  -3.36100878731      0
180      -5.69381816614     -  -5.64050299191      9
181      -5.69381816614     -  -5.46788233529      0
182      -5.69381816614     -  -5.53915973045      0
183      -5.69381816614     -  -5.4182529278      0
184      -5.69381816614     -  -5.50092846236      0
185      -5.69381816614     -  -4.89610596363      0
186      -5.69381816614     -  -5.57780151223      0
187      -5.69381816614     -  -5.69381816614      144
188      -5.69381816614     -  -5.60374132216      0
189      -5.69381816614     -  -4.44271866439      0
190      -5.69381816614     -  -5.55893091787      0
191      -5.69381816614     -  -5.37147303384      0
192      -5.60374132216     -  -5.52521173291      0
193      -5.60374132216     -  -4.52912809899      1
194      -5.60374132216     -  -5.10185539429      2
195      -5.60374132216     -  -3.36100878731      0
196      -5.60374132216     -  -5.64050299191      32
197      -5.60374132216     -  -5.46788233529      0
198      -5.60374132216     -  -5.53915973045      34
